WebsiteAccessCategoryID,CategoryName,Description,AccessLevel,FeaturesIncluded,SubscriptionCost,ActivationDate,ExpirationDate,TermsAndConditions,RenewalNoticePeriod,,
150,Mining Enterprise Premium,Enhanced features for global mining conglomerates and resources companies,mining-enterprise-premium,"Enterprise Premium mining features plus advanced predictive analytics, autonomous operations, and environmental sustainability tracking",$3499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
151,Oil & Gas Enterprise Premium,Expanded access for major international oil and gas corporations,oil-gas-enterprise-premium,"Enterprise Premium oil & gas features plus end-to-end supply chain visibility, predictive maintenance, and safety/compliance monitoring",$3999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
152,Metals & Materials Enterprise Premium,Specialized access for global metals producers and advanced materials companies,metals-materials-enterprise-premium,"Enterprise Premium metals & materials features plus AI-powered quality control, supply chain traceability, and product lifecycle management",$3499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
153,Logistics Enterprise Premium,Enhanced features for global logistics service providers and freight forwarders,logistics-enterprise-premium,"Enterprise Premium logistics features plus AI-powered route optimization, supply chain resilience, and customer experience enhancement",$3499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
154,Retail Enterprise Ultimate,Specialized access for the world's largest retail conglomerates and e-commerce giants,retail-enterprise-ultimate,"Enterprise Ultimate retail features plus hyper-personalized customer engagement, dynamic pricing, and predictive fulfillment",$4999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
155,Manufacturing Enterprise Ultimate,Expanded access for the most advanced global industrial manufacturers,manufacturing-enterprise-ultimate,"Enterprise Ultimate manufacturing features plus fully autonomous production, predictive quality, and supply chain optimization",$4999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
156,Healthcare Enterprise Ultimate,Enhanced features for the largest integrated health systems and medical groups,healthcare-enterprise-ultimate,"Enterprise Ultimate healthcare features plus AI-powered patient outcomes prediction, digital twin simulations, and real-time supply chain optimization",$4499/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
157,Finance Enterprise Ultimate,Specialized access for the world's leading financial institutions and investment firms,finance-enterprise-ultimate,"Enterprise Ultimate finance features plus advanced risk modeling, portfolio optimization, and regulatory compliance automation",$4999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
158,Technology Enterprise Ultimate,Expanded access for global technology and software conglomerates,technology-enterprise-ultimate,"Enterprise Ultimate technology features plus AI-powered product innovation, predictive customer analytics, and DevSecOps automation",$4999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
159,Energy Enterprise Ultimate,Enhanced features for the world's largest utility and energy providers,energy-enterprise-ultimate,"Enterprise Ultimate energy features plus AI-powered grid optimization, renewable energy forecasting, and predictive maintenance",$4999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
160,Transportation Enterprise Ultimate,Specialized access for the global leaders in logistics, freight, and mobility,transportation-enterprise-ultimate,"Enterprise Ultimate transportation features plus AI-powered supply chain optimization, autonomous fleet management, and real-time visibility",$4999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days
161,Aerospace Enterprise Ultimate,Specialized access for the world's leading aerospace and aviation manufacturers,aerospace-enterprise-ultimate,"Enterprise Ultimate aerospace features plus fully autonomous flight simulations, predictive maintenance, and end-to-end supply chain optimization",$4999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
162,Telecommunications Enterprise Ultimate,Expanded access for global telecommunications conglomerates and network providers,telecommunications-enterprise-ultimate,"Enterprise Ultimate telecommunications features plus AI-powered 5G network planning, IoT device management, and predictive customer analytics",$4999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
163,Utilities Enterprise Ultimate,Enhanced features for the largest multinational utility and energy companies,utilities-enterprise-ultimate,"Enterprise Ultimate utilities features plus AI-powered grid resilience, renewable forecasting, and real-time customer experience optimization",$4999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
164,Agriculture Enterprise Ultimate,Specialized access for the world's largest agribusiness and farming cooperatives,agriculture-enterprise-ultimate,"Enterprise Ultimate agriculture features plus autonomous farm operations, predictive yield modeling, and end-to-end supply chain traceability",$3999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
165,Pharmaceutical Enterprise Ultimate,Expanded access for the global pharmaceutical and biotech industry leaders,pharmaceutical-enterprise-ultimate,"Enterprise Ultimate pharmaceutical features plus AI-powered clinical trial optimization, real-world evidence generation, and predictive pharmacovigilance",$4999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
166,Chemical Enterprise Ultimate,Enhanced features for the world's largest chemical manufacturers and distributors,chemical-enterprise-ultimate,"Enterprise Ultimate chemical features plus autonomous process optimization, predictive maintenance, and environmental compliance automation",$4999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
167,Mining Enterprise Ultimate,Specialized access for the global mining conglomerate and natural resources leaders,mining-enterprise-ultimate,"Enterprise Ultimate mining features plus autonomous operations, advanced predictive analytics, and end-to-end supply chain visibility",$4999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
168,Oil & Gas Enterprise Ultimate,Expanded access for the world's largest international oil and gas corporations,oil-gas-enterprise-ultimate,"Enterprise Ultimate oil & gas features plus predictive maintenance, real-time supply chain optimization, and AI-powered safety/compliance monitoring",$4999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
169,Metals & Materials Enterprise Ultimate,Enhanced features for the global leaders in metals production and advanced materials,metals-materials-enterprise-ultimate,"Enterprise Ultimate metals & materials features plus fully autonomous quality control, product lifecycle optimization, and end-to-end supply chain traceability",$4999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
170,Logistics Enterprise Ultimate,Specialized access for the world's largest global logistics and freight service providers,logistics-enterprise-ultimate,"Enterprise Ultimate logistics features plus AI-powered autonomous routing, dynamic capacity optimization, and hyper-personalized customer experience",$4999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
171,Automotive Enterprise Ultimate,Expanded access for the global automotive industry leaders and OEMs,automotive-enterprise-ultimate,"Enterprise Ultimate automotive features plus fully autonomous production, predictive supply chain optimization, and personalized customer lifecycle management",$4999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
172,Retail Enterprise Platinum,Specialized access for the world's top retail conglomerates and e-commerce giants,retail-enterprise-platinum,"Enterprise Platinum retail features plus AI-powered hyper-personalization, dynamic pricing and promotions, and predictive fulfillment optimization",$6999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
173,Manufacturing Enterprise Platinum,Enhanced features for the most advanced global industrial manufacturers,manufacturing-enterprise-platinum,"Enterprise Platinum manufacturing features plus fully autonomous production, predictive quality and yield optimization, and end-to-end supply chain resilience",$6999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
174,Healthcare Enterprise Platinum,Expanded access for the world's largest integrated health systems and medical groups,healthcare-enterprise-platinum,"Enterprise Platinum healthcare features plus AI-powered patient outcomes prediction, digital twin clinical simulations, and real-time supply chain optimization",$5999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
175,Finance Enterprise Platinum,Specialized access for the global financial industry leaders and investment firms,finance-enterprise-platinum,"Enterprise Platinum finance features plus advanced AI-powered risk modeling, portfolio optimization, and end-to-end regulatory compliance automation",$6999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
176,Technology Enterprise Platinum,Enhanced features for the world's largest technology and software conglomerates,technology-enterprise-platinum,"Enterprise Platinum technology features plus AI-powered product innovation, predictive customer analytics, and fully automated DevSecOps",$6999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
177,Energy Enterprise Platinum,Expanded access for the global leaders in utility and energy services,energy-enterprise-platinum,"Enterprise Platinum energy features plus AI-powered grid optimization, predictive renewable energy forecasting, and autonomous asset maintenance",$6999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
178,Transportation Enterprise Platinum,Specialized access for the global logistics, freight, and mobility industry giants,transportation-enterprise-platinum,"Enterprise Platinum transportation features plus AI-powered supply chain optimization, autonomous fleet management, and predictive delivery optimization",$6999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days
179,Aerospace Enterprise Platinum,Enhanced features for the world's leading aerospace and aviation manufacturers,aerospace-enterprise-platinum,"Enterprise Platinum aerospace features plus fully autonomous flight simulations, predictive maintenance, and end-to-end supply chain optimization",$6999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
180,Telecommunications Enterprise Platinum,Expanded access for global telecommunications conglomerates and network providers,telecommunications-enterprise-platinum,"Enterprise Platinum telecommunications features plus AI-powered 5G network planning, IoT device management, and predictive customer analytics",$6999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
181,Utilities Enterprise Platinum,Specialized access for the largest multinational utility and energy companies,utilities-enterprise-platinum,"Enterprise Platinum utilities features plus AI-powered grid resilience, renewable forecasting, and real-time customer experience optimization",$6999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
182,Agriculture Enterprise Platinum,Enhanced features for the world's largest agribusiness and farming cooperatives,agriculture-enterprise-platinum,"Enterprise Platinum agriculture features plus autonomous farm operations, predictive yield modeling, and end-to-end supply chain traceability",$5999/month,1/1/2023,12/31/2024,"Custom terms, 24 month contract",180 days,,
183,Pharmaceutical Enterprise Platinum,Expanded access for the global pharmaceutical and biotech industry leaders,pharmaceutical-enterprise-platinum,"Enterprise Platinum pharmaceutical features plus AI-powered clinical trial optimization, real-world evidence generation, and predictive pharmacovigilance",$6999/month,1/1/2023,12/31/2024,"Custom terms, 24",,,
